id,nom,genre,freq
341,soir,m,756804
342,taille,f,755949
343,forêt,f,755393
344,conférence,f,755267
345,déclaration,f,752134
346,conseil,m,751749
347,réunion,f,751706
348,théâtre,m,749999
349,action,f,749371
350,portée,f,743094
351,manque,m,742451
352,division,f,741689
353,souci,m,741067
354,commune,f,739060
355,film,m,736593
356,journal,m,735972
357,acte,m,735844
358,référence,f,729314
359,chute,f,727899
360,fille,f,727230
361,silence,m,726136
362,veille,f,725867
363,enfant,m,725795
364,ministère,m,725224
365,cours,m,724938
366,feu,m,720497
367,compréhension,f,719356
368,diffusion,f,718994
369,distance,f,717509
370,personnalité,f,717151
371,idée,f,716546
372,présentation,f,716327
373,victoire,f,714436
374,long,m,712548
375,activité,f,712511
376,exemple,m,711557
377,gauche,f,711488
378,traité,m,709756
379,compte,m,708727
380,discussion,f,705539
381,décret,m,705102
382,bien,m,702882
383,image,f,701880
384,fond,m,700349
385,vente,f,699048
386,découverte,f,698856
387,totalité,f,698150
388,style,m,697962
389,dynamique,f,696514
390,mariage,m,694685
391,ciel,m,692003
392,télévision,f,689984
393,site,m,688533
394,approche,f,685156
395,maître,m,682922
396,village,m,681174
397,moyenne,f,679225
398,province,f,677783
399,comparaison,f,676966
400,pauvreté,f,676302
401,foule,f,675365
402,conclusion,f,675008
403,facteur,m,672073
404,visage,m,670641
405,poète,m,669472
406,richesse,f,667468
407,quantité,f,666828
408,hiérarchie,f,666601
409,dette,f,666267
410,dialogue,m,665068
411,tiers,m,664637
412,soutien,m,664159
413,effet,m,660841
414,menace,f,658744
415,accord,m,658202
416,biais,m,657290
417,directeur,m,652572
418,degré,m,651159
419,version,f,650401
420,refus,m,646384
421,volume,m,645715
422,chaîne,f,644547
423,droite,f,642558
424,maintien,m,640524
425,maîtrise,f,639048
426,délai,m,636137
427,article,m,635429
428,machine,f,634718
429,ordre,m,634037
430,français,m,632659
431,jurisprudence,f,631926
432,rythme,m,626160
433,entreprise,f,625807
434,réaction,f,625590
435,page,f,623858
436,note,f,621622
437,mal,m,619897
438,solidarité,f,617419
439,départ,m,616831
440,tribunal,m,615753
441,disparition,f,614636
442,fête,f,613261
443,revenu,m,610218
444,genre,m,610150
445,sociologie,f,607310
446,soleil,m,606161
447,fils,m,606005
448,seconde,f,603188
449,séparation,f,602888
450,procès,m,601290
451,message,m,599860
452,conduite,f,599653
453,problématique,f,597591
454,promotion,f,597355
455,semaine,f,596681
456,contribution,f,595536
457,siècle,m,592789
458,hausse,f,591378
459,monnaie,f,590969
460,voyage,m,590836
461,souveraineté,f,586509
462,médecin,m,586111
463,vue,f,585786
464,bilan,m,584953
465,compagnie,f,584617
466,beauté,f,584495
467,peur,f,583968
468,diminution,f,582418
469,couleur,f,582237
470,confiance,f,580751
471,rédaction,f,578540
472,reprise,f,576075
473,œuvre,f,575555
474,continuité,f,575158
475,proportion,f,573861
476,document,m,572341
477,règlement,m,571085
478,détermination,f,570934
479,modernité,f,570868
480,profession,f,570542
481,résolution,f,569016
482,augmentation,f,568014
483,circulation,f,567840
484,souvenir,m,565773
485,courant,m,565313
486,sang,m,564237
487,préparation,f,561678
488,mythe,m,560535
489,paysage,m,558087
490,complexité,f,556848
491,bibliothèque,f,556769
492,succession,f,555924
493,organisation,f,553468
494,comité,m,551058
495,côte,f,550444
496,plaisir,m,549658
497,quartier,m,549651
498,personnel,m,548030
499,visite,f,547570
500,libération,f,545752
501,rêve,m,545355
502,discipline,f,545068
503,sphère,f,543291
504,présidence,f,542325
505,vitesse,f,541197
506,réglementation,f,540705
507,goût,m,537574
508,bouche,f,535307
509,marque,f,533107
510,capital,m,532591
511,vallée,f,530192
512,norme,f,529613
513,synthèse,f,529326
514,vent,m,529281
515,faculté,f,528765
516,combat,m,528572
517,collection,f,527984
518,expérience,f,527965
519,banque,f,527131
520,numéro,m,524461
521,douleur,f,524068
522,sous,m,523465
523,nouvelle,f,522910
524,bataille,f,522856
525,schéma,m,519663
526,poste,m,517523
527,geste,m,517426
528,génération,f,516796
529,climat,m,516583
530,collaboration,f,516345
531,conquête,f,515993
532,progrès,m,515213
533,progression,f,512169
534,professeur,m,511037
535,dossier,m,509964
536,domination,f,508944
537,psychologie,f,505120
538,dispositif,m,501887
539,époque,f,501705
540,budget,m,501489
541,médecine,f,499544
542,conséquence,f,497664
543,tentative,f,497396
544,département,m,495339
545,faute,f,494628
546,cinéma,m,493563
547,présent,m,491358
548,stabilité,f,491070
549,mécanisme,m,490805
550,hauteur,f,488744
551,manifestation,f,487981
552,sortie,f,486850
553,négociation,f,486647
554,réussite,f,486586
555,code,m,484315
556,couple,m,484009
557,sort,m,483069
558,danger,m,481912
559,peau,f,481868
560,transfert,m,480729
561,dizaine,f,478955
562,répression,f,478602
563,technologie,f,477850
564,bourgeoisie,f,477454
565,légitimité,f,476049
566,théologie,f,472912
567,destruction,f,472152
568,modification,f,470526
569,bonheur,m,467664
570,productivité,f,467400
571,pierre,f,466567
572,prince,m,465799
573,voiture,f,465676
574,secret,m,465079
575,passion,f,465060
576,fenêtre,f,464288
577,colonisation,f,463867
578,retraite,f,463342
579,concentration,f,463300
580,température,f,461270
581,ouvrage,m,461252
582,mode,f,460738
583,mur,m,460487
584,collectivité,f,460204
585,délégation,f,459659
586,instant,m,458706
587,fabrication,f,458419
588,siège,m,456297
589,reine,f,456261
590,carrière,f,454350
591,transmission,f,452430
592,montagne,f,452116
593,devoir,m,450894
594,bureau,m,450473
595,chiffre,m,449812
596,victime,f,449242
597,fiction,f,448896
598,concours,m,447502
599,évolution,f,446830
600,port,m,445603
601,attitude,f,445338
602,tension,f,445121
603,marche,f,445077
604,financement,m,444896
605,sensibilité,f,444142
606,signature,f,443716
607,suppression,f,443632
608,tour,m,443459
609,enquête,f,443443
610,narrateur,m,443015
611,poursuite,f,442772
612,monarchie,f,442764
613,destin,m,442670
614,psychanalyse,f,442607
615,misère,f,441998
616,emploi,m,441679
617,faiblesse,f,441564
618,pas,m,441518
619,montée,f,441043
620,calcul,m,438958
621,dos,m,438465
622,ton,m,438156
623,bruit,m,437941
624,fondement,m,436937
625,fréquence,f,435071
626,rivière,f,435050
627,camp,m,432783
628,pêche,f,432553
629,spécificité,f,432343
630,vertu,f,431104
631,spectacle,m,430471
632,matin,m,429952
633,intérêt,m,429663
634,contrainte,f,429504
635,matériel,m,428339
636,chance,f,427420
637,sélection,f,426716
638,chômage,m,425476
639,savoir,m,424928
640,souffrance,f,424485
641,critère,m,424189
642,noblesse,f,423091
643,poème,m,421857
644,remise,f,420107
645,partage,m,419591
646,reproduction,f,418846
647,héros,m,418080
648,correspondance,f,417912
649,séance,f,417222
650,économie,f,416966
651,grâce,f,416920
652,géographie,f,416305
653,colonie,f,416214
654,fruit,m,415474
655,joie,f,415242
656,culte,m,410862
657,mobilité,f,410015
658,garde,f,409650
659,patient,m,408886
660,vide,m,407759
661,unité,f,406058
662,témoignage,m,406044
663,publicité,f,404639
664,fondation,f,404000
665,portrait,m,403361
666,confusion,f,403186
667,radio,f,403039
668,substance,f,401453
669,futur,m,399887
670,symbole,m,399882
671,conservation,f,399481
672,longueur,f,398841
673,garantie,f,398733
674,événement,m,398403
675,vote,m,398401
676,bande,f,397383
677,front,m,394729
678,chasse,f,392518
679,secrétaire,m,392478
680,trait,m,392419
681,face,f,392390
682,instrument,m,392282
683,sous,f,391905
684,législateur,m,391885
685,effort,m,391267
686,nationalité,f,390712
687,année,f,389943
688,cohérence,f,389934
689,crainte,f,389080
690,quart,m,388993
691,surveillance,f,388632
692,mobilisation,f,387834
693,déficit,m,387447
694,espèce,f,386989
695,dignité,f,386751
696,couverture,f,386256
697,métaphore,f,384894
698,heure,f,384509
699,dépendance,f,384443
700,gloire,f,383829
701,salaire,m,383692
702,vingtaine,f,382236
703,grève,f,381911
704,conversation,f,381788
705,révolte,f,381278
706,maire,m,380768
707,prière,f,380032
708,prison,f,379948
709,capitaine,m,378850
710,individu,m,378817
711,aspect,m,377918
712,transport,m,377480
713,réception,f,376562
714,haine,f,375798
715,métier,m,374209
716,cercle,m,373822
717,multiplication,f,372632
718,esprit,m,372037
719,juridiction,f,371762
720,cellule,f,371498
721,verbe,m,371330
722,chaleur,f,371091
723,cycle,m,370834
724,priorité,f,370158
725,décennie,f,369133
726,représentant,m,367980
727,satisfaction,f,366116
728,jardin,m,365817
729,bois,m,365803
730,renforcement,m,365486
731,mondialisation,f,364979
732,comte,m,364156
733,duc,m,363427
734,couche,f,360654
735,cuisine,f,360263
736,interprétation,f,359622
737,pont,m,359621
738,branche,f,359321
739,philosophe,m,358676
740,transition,f,358433
741,sagesse,f,358144
742,motif,m,357172
743,défaite,f,356823
744,détail,m,356762
745,importance,f,354846
746,sud,m,354316
747,corruption,f,354039
748,total,m,352121
749,révision,f,351666
750,courbe,f,351052
751,variété,f,349598
752,continent,m,349331
753,croyance,f,347623
754,confrontation,f,344503
755,royaume,m,343912
756,identité,f,343824
757,contradiction,f,343398
758,séquence,f,343227
759,opération,f,342320
760,influence,f,341376
761,don,m,340834
762,folie,f,340487
763,saison,f,340307
764,coordination,f,340106
765,nord,m,339147
766,liaison,f,338986
767,aide,f,338637
768,rigueur,f,338165
769,contact,m,337715
770,lit,m,337346
771,danse,f,337106
772,conjoncture,f,336937
773,faveur,f,336893
774,minorité,f,336430
775,contraire,m,336064
776,seuil,m,336030
777,municipalité,f,336028
778,planète,f,335279
779,documentation,f,335157
780,quête,f,335104
781,registre,m,334829
782,école,f,334442
783,maximum,m,334346
784,sexe,m,334241
785,démonstration,f,334196
786,pluie,f,332230
787,légende,f,332133
788,validité,f,332011
789,cérémonie,f,331978
790,marge,f,331801
791,photographie,f,331730
792,mérite,m,331197
793,patrie,f,331168
794,variation,f,330521
795,membre,m,330375
796,sexualité,f,329729
797,planification,f,329650
798,propagande,f,329527
799,clientèle,f,329497
800,train,m,329137
801,balance,f,329003
802,crime,m,328739
803,taxe,f,328587
804,patrimoine,m,328199
805,fonds,m,328114
806,soin,m,327585
807,procédé,m,327556
808,répétition,f,327497
809,courage,m,327441
810,rive,f,327258
811,densité,f,326997
812,docteur,m,326642
813,prévention,f,326320
814,race,f,325822
815,plume,f,325707
816,bâtiment,m,324390
817,nourriture,f,322966
818,affaire,f,322206
819,physique,f,322112
820,décentralisation,f,321754
821,reconstruction,f,320323
822,parcours,m,319812
823,dessin,m,319533
824,premier,m,319474
825,proximité,f,319422
826,diagnostic,m,319251
827,peintre,m,318383
828,multitude,f,317611
829,minimum,m,317559
830,tentation,f,317032
831,profondeur,f,316995
832,modernisation,f,313852
833,préfet,m,313512
834,haut,m,312686
835,commentaire,m,312604
836,grandeur,f,312525
837,chair,f,312477
838,clause,f,312354
839,course,f,312214
840,pied,m,310688
841,pointe,f,310444
842,métaphysique,f,310145
843,rémunération,f,308642
844,réserve,f,307727
845,tragédie,f,307591
846,formulation,f,307465
847,trace,f,307359
848,certitude,f,307146
849,conviction,f,306933
850,rapprochement,m,306910
851,dialectique,f,306698
852,bras,m,306002
853,croix,f,305519
854,mortalité,f,305221
855,défi,m,304806
856,déplacement,m,303229
857,colonel,m,303179
858,expression,f,302932
859,colonne,f,302864
860,pourcentage,m,302855
861,dégradation,f,302536
862,paroisse,f,302483
863,directive,f,301755
864,vocabulaire,m,301314
865,survie,f,300904
866,mélange,m,300558
867,hasard,m,300302
868,république,f,300276
869,être,m,300054
870,leçon,f,299753
871,christianisme,m,299516
872,miroir,m,299408
873,négation,f,298546
874,pape,m,298304
875,condamnation,f,297478
876,examen,m,297413
877,cathédrale,f,297319
878,fortune,f,297088
879,déroulement,m,296825
880,outil,m,296721
881,solitude,f,296697
882,genèse,f,296550
883,combinaison,f,296543
884,consultation,f,296477
885,centaine,f,296471
886,fusion,f,295045
887,gare,f,294809
888,révélation,f,294797
889,candidat,m,294068
890,dimanche,m,294058
891,drame,m,293687
892,rationalité,f,292883
893,ferme,f,292011
894,institution,f,290980
895,papier,m,290905
896,précision,f,290811
897,sensation,f,290328
898,plaine,f,290034
899,recul,m,290019
900,régulation,f,289757
901,messe,f,289566
902,univers,m,289239
903,multiplicité,f,288984
904,chapelle,f,288931
905,chant,m,288653
906,gouverneur,m,288019
907,fil,m,287955
908,monopole,m,287806
909,classification,f,287710
910,citoyenneté,f,287681
911,vocation,f,286843
912,conversion,f,284912
913,association,f,284323
914,mention,f,283838
915,député,m,283650
916,fuite,f,282965
917,médiation,f,282935
918,erreur,f,282672
919,restauration,f,281857
920,frère,m,281718
921,fécondité,f,281496
922,château,m,281178
923,mystère,m,280862
924,vin,m,280758
925,logement,m,280328
926,environnement,m,280220
927,choc,m,280132
928,raisonnement,m,280026
929,mari,m,279678
930,station,f,279565
931,décor,m,279117
932,noyau,m,278627
933,possession,f,278608
934,potentiel,m,276833
935,commandement,m,276441
936,support,m,276263
937,commandant,m,275913
938,art,m,275504
939,appel,m,274491
940,requête,f,274113
941,rejet,m,273987
942,paradoxe,m,273289
943,constat,m,272870
944,prêtre,m,272628
945,cohésion,f,272104
946,recueil,m,271793
947,garçon,m,271572
948,trentaine,f,271528
949,équipe,f,271385
950,firme,f,270844
951,crédit,m,270631
952,socialisme,m,270165
953,coutume,f,269867
954,ami,m,269792
955,performance,f,269775
956,nomination,f,269593
957,chanson,f,269493
958,pertinence,f,269118
959,bassin,m,268130
960,feuille,f,268073
961,grammaire,f,267394
962,paiement,m,266769
963,bénéfice,m,266553
964,consensus,m,266087
965,configuration,f,265954
966,navire,m,265843
967,génie,m,265721
968,pollution,f,265576
969,copie,f,264564
970,rhétorique,f,264509
971,qualification,f,264397
972,doute,m,264158
973,marine,f,263953
974,mandat,m,263880
975,tissu,m,263275
976,boîte,f,262589
977,sourire,m,262587
978,teneur,f,262222
979,profil,m,261192
980,trafic,m,260774
981,réputation,f,260195
982,probabilité,f,260055
983,fraction,f,259741
984,gamme,f,259628
985,compétition,f,259598
986,viande,f,259136
987,stade,m,259116
988,façade,f,258989
989,journaliste,m,258432
990,composante,f,258380
991,tenue,f,257652
992,attention,f,257337
993,dissolution,f,257173
994,variable,f,257152
995,manuscrit,m,255887
996,intervention,f,255616
997,narration,f,255591
998,air,m,255315
999,colère,f,255278
1000,reflet,m,255265
1001,finalité,f,255028
1002,café,m,254689
1003,information,f,254655
1004,jouissance,f,254236
1005,promesse,f,253625
1006,propriétaire,m,252087
1007,déclin,m,251365
1008,lune,f,250829
1009,recrutement,m,250585
1010,sanction,f,250042
1011,tour,f,249944
1012,gravité,f,249646
1013,spectateur,m,249103
1014,superficie,f,248933
1015,toile,f,248923
1016,explication,f,248277
1017,commissaire,m,247875
1018,clé,f,247444
1019,privilège,m,247196
1020,enseignement,m,247062
1021,fédération,f,246940
1022,dictature,f,246776
1023,chien,m,246057
1024,autorité,f,246030
1025,syndicat,m,245441
1026,pluralité,f,244758
1027,musée,m,244721
1028,métropole,f,244515
1029,perfection,f,243899
1030,couronne,f,243531
1031,fidélité,f,242991
1032,sommet,m,242744
1033,troupe,f,240747
1034,parc,m,240722
1035,cheval,m,240507
1036,commande,f,240507
1037,retrait,m,240246
1038,citoyen,m,240190
1039,fleuve,m,240179
1040,caisse,f,239792
1041,moteur,m,239365
1042,organisme,m,238962
1043,bibliographie,f,238806
1044,tutelle,f,238693
1045,subjectivité,f,238604
1046,bout,m,238475
1047,fermeture,f,238013
1048,statue,f,237709
1049,matrice,f,237351
1050,soirée,f,236937
1051,justification,f,236923
1052,quotidien,m,236902
1053,supériorité,f,235710
1054,pédagogie,f,235649
1055,établissement,m,235528
1056,censure,f,235300
1057,étape,f,235184
1058,curé,m,234947
1059,revendication,f,234764
1060,récolte,f,234127
1061,grille,f,233987
1062,objectif,m,233489
1063,auteur,m,233371
1064,bouton,m,233053
1065,séjour,m,232641
1066,canal,m,232339
1067,pain,m,232243
1068,bas,m,232143
1069,million,m,231939
1070,flotte,f,231037
1071,renouvellement,m,230986
1072,faim,f,230618
1073,parenté,f,230448
1074,dépense,f,229807
1075,diplomatie,f,229567
1076,dépôt,m,229535
1077,barre,f,229455
1078,corpus,m,228961
1079,traite,f,228581
1080,coin,m,228544
1081,filière,f,227104
1082,mutation,f,227012
1083,plage,f,226953
1084,préface,f,226745
1085,malade,m,226539
1086,compromis,m,226351
1087,localisation,f,226048
1088,terreur,f,225791
1089,flux,m,225623
1090,photo,f,225186
1091,avenir,m,225066
1092,scénario,m,225057
1093,arrêt,m,224711
1094,suivi,m,224444
1095,désignation,f,224356
1096,terminologie,f,224302
1097,capitalisme,m,224146
1098,cri,m,223960
1099,discrimination,f,223631
1100,coupe,f,223576
1101,rendement,m,223092
1102,citation,f,223000
1103,plateau,m,222858
1104,permanence,f,222764
1105,quinzaine,f,222748
1106,témoin,m,222502
1107,repas,m,222318
1108,transparence,f,222197
1109,sacrifice,m,222112
1110,salut,m,222098
1111,demi,m,221892
1112,galerie,f,221873
1113,équilibre,m,221645
1114,limitation,f,220954
1115,test,m,220910
1116,lieutenant,m,220580
1117,client,m,220406
1118,neige,f,220243
1119,cardinal,m,220153
1120,soumission,f,220109
1121,responsable,m,219988
1122,vague,f,219963
1123,fixation,f,219920
1124,prospérité,f,219905
1125,caractéristique,f,219758
1126,périphérie,f,219693
1127,foyer,m,219527
1128,pension,f,219158
1129,motivation,f,218182
1130,catastrophe,f,218024
1131,préoccupation,f,217974
1132,linguistique,f,217906
1133,nouveauté,f,217659
1134,armée,f,217362
1135,clergé,m,216501
1136,son,m,216400
1137,obligation,f,216103
1138,bateau,m,215808
1139,violation,f,215331
1140,usage,m,214499
1141,évaluation,f,214365
1142,prolongement,m,214202
1143,mairie,f,214087
1144,verre,m,213688
1145,accroissement,m,213360
1146,consentement,m,213229
1147,sport,m,213037
1148,dieu,m,212450
1149,désert,m,211791
1150,retard,m,211649
1151,curiosité,f,211256
1152,vol,m,211218
1153,mécanique,f,210592
1154,salarié,m,209787
1155,saisie,f,208890
1156,patron,m,208857
1157,dame,f,208561
1158,navigation,f,208485
1159,malheur,m,208131
1160,différenciation,f,207729
1161,défaut,m,207429
1162,chercheur,m,207268
1163,comptabilité,f,206787
1164,migration,f,206635
1165,légalité,f,206147
1166,désordre,m,205142
1167,souffle,m,203980
1168,libéralisation,f,203920
1169,chronologie,f,203557
1170,rentabilité,f,203369
1171,collecte,f,203298
1172,résidence,f,203226
1173,engagement,m,202937
1174,amélioration,f,202852
1175,mine,f,202690
1176,opposition,f,202664
1177,trame,f,202548
1178,pente,f,202318
1179,tournant,m,202156
1180,agent,m,202085
1181,existence,f,202075
1182,généralisation,f,201919
1183,contestation,f,201599
1184,projection,f,201559
1185,triomphe,m,201412
1186,clarté,f,201150
1187,signal,m,201105
1188,tolérance,f,201034
1189,coefficient,m,200989
1190,obstacle,m,200900
1191,coalition,f,200855
1192,morceau,m,200716
1193,valorisation,f,200243
1194,filiation,f,199721
1195,sommeil,m,198655
1196,catalogue,m,198629
1197,bloc,m,198473
1198,rubrique,f,198051
1199,typologie,f,198026
1200,tombe,f,197784
1201,fiscalité,f,197542
1202,complément,m,196588
1203,cabinet,m,196297
1204,échec,m,196211
1205,souverain,m,196132
1206,cerveau,m,195952
1207,collège,m,195709
1208,charité,f,195563
1209,fichier,m,195466
1210,lignée,f,195385
1211,plante,f,194435
1212,propos,m,194318
1213,masque,m,194155
1214,remarque,f,194064
1215,diplôme,m,193993
1216,princesse,f,193422
1217,tourisme,m,193344
1218,demi,f,192691
1219,nationalisme,m,192526
1220,persistance,f,192396
1221,dispersion,f,192133
1222,statistique,f,192057
1223,paragraphe,m,191834
1224,méthodologie,f,191779
1225,prudence,f,191503
1226,concession,f,191267
1227,matériau,m,191057
1228,relais,m,190396
1229,accident,m,190324
1230,politique,m,190291
1231,pacte,m,190146
1232,congrès,m,190035
1233,rente,f,189784
1234,piste,f,189494
1235,surprise,f,189274
1236,protocole,m,189053
1237,arbre,m,188907
1238,porte,m,188812
1239,réparation,f,188733
1240,cinquantaine,f,188672
1241,guide,m,188127
1242,sentence,f,187862
1243,chimie,f,187279
1244,mentalité,f,187117
1245,réconciliation,f,187070
1246,comédie,f,187025
1247,palais,m,186637
1248,bord,m,186432
1249,racine,f,186395
1250,particularité,f,186373
1251,trou,m,186059
1252,géométrie,f,185576
